
--- NEW ENGINE RUN: 2026-01-14 15:29:32 (Target: 서울 강남구, Count: 5) ---
2026-01-15 13:00:01,691 - INFO - 🔍 Visiting detail page: 이미지수114
2026-01-15 13:00:06,849 - INFO - Firebase Firestore initialized successfully
2026-01-15 13:00:06,986 - INFO - Successfully saved shop to Firebase: 인치바이인치_LPG 엔더몰로지 인천부평점
2026-01-15 13:00:06,986 - INFO - ✅ Firebase Saved: 인치바이인치_LPG 엔더몰로지 인천부평점
2026-01-15 13:00:06,987 - INFO - Progress: 2/10
2026-01-15 13:00:12,647 - INFO - 🔍 Visiting detail page: 이미지수7
2026-01-15 13:00:18,413 - INFO - Firebase Firestore initialized successfully
2026-01-15 13:00:18,512 - INFO - Successfully saved shop to Firebase: 김선미 에스테틱
2026-01-15 13:00:18,512 - INFO - ✅ Firebase Saved: 김선미 에스테틱
2026-01-15 13:00:18,513 - INFO - Progress: 3/10
2026-01-15 13:00:21,582 - INFO - 🔍 Visiting detail page: 이미지수14
2026-01-15 13:00:27,410 - INFO - Firebase Firestore initialized successfully
2026-01-15 13:00:27,518 - INFO - Successfully saved shop to Firebase: 153 에스테틱 피부관리
2026-01-15 13:00:27,518 - INFO - ✅ Firebase Saved: 153 에스테틱 피부관리
2026-01-15 13:00:27,519 - INFO - Progress: 4/10
2026-01-15 13:00:32,384 - INFO - 🔍 Visiting detail page: 이미지수7
2026-01-15 13:00:38,048 - INFO - Firebase Firestore initialized successfully
2026-01-15 13:00:38,144 - INFO - Successfully saved shop to Firebase: 부평산곡 근육조정마사지
2026-01-15 13:00:38,144 - INFO - ✅ Firebase Saved: 부평산곡 근육조정마사지
2026-01-15 13:00:38,144 - INFO - Progress: 5/10
2026-01-15 13:00:43,693 - INFO - 🔍 Visiting detail page: 이미지수28
2026-01-15 13:00:49,286 - INFO - Firebase Firestore initialized successfully
2026-01-15 13:00:49,381 - INFO - Successfully saved shop to Firebase: 리우에스테틱
2026-01-15 13:00:49,382 - INFO - ✅ Firebase Saved: 리우에스테틱
2026-01-15 13:00:49,382 - INFO - Progress: 6/10
2026-01-15 13:00:56,323 - INFO - 🔍 Visiting detail page: 이미지수10
2026-01-15 13:01:00,797 - INFO - Firebase Firestore initialized successfully
2026-01-15 13:01:00,915 - INFO - Successfully saved shop to Firebase: 판다차이나풋마사지
2026-01-15 13:01:00,916 - INFO - ✅ Firebase Saved: 판다차이나풋마사지
2026-01-15 13:01:00,916 - INFO - Progress: 7/10
2026-01-15 13:01:04,365 - INFO - 🔍 Visiting detail page: 이미지수59
2026-01-15 13:01:10,336 - INFO - Firebase Firestore initialized successfully
2026-01-15 13:01:10,432 - INFO - Successfully saved shop to Firebase: 아느크
2026-01-15 13:01:10,432 - INFO - ✅ Firebase Saved: 아느크
2026-01-15 13:01:10,432 - INFO - Progress: 8/10
2026-01-15 13:01:15,613 - INFO - 🔍 Visiting detail page: 이미지수60
2026-01-15 13:01:20,437 - INFO - Firebase Firestore initialized successfully
2026-01-15 13:01:20,531 - INFO - Successfully saved shop to Firebase: js피부연구소
2026-01-15 13:01:20,531 - INFO - ✅ Firebase Saved: js피부연구소
2026-01-15 13:01:20,531 - INFO - Progress: 9/10
2026-01-15 13:01:26,924 - INFO - 🔍 Visiting detail page: 이미지수11
2026-01-15 13:01:31,801 - INFO - Firebase Firestore initialized successfully
2026-01-15 13:01:31,887 - INFO - Successfully saved shop to Firebase: 쏘울링
2026-01-15 13:01:31,888 - INFO - ✅ Firebase Saved: 쏘울링
2026-01-15 13:01:31,888 - INFO - Progress: 10/10
2026-01-15 13:01:36,657 - INFO - ✅ Finished. Total saved: 10

--- NEW ENGINE RUN: 2026-01-15 13:47:52 (Target: 인천 연수구, Count: 10) ---
2026-01-15 13:47:59,849 - INFO - 🔍 Searching: 인천 연수구 피부관리샵
2026-01-15 13:48:04,554 - INFO - 🗺️ Map view detected. Switching to list view...
2026-01-15 13:48:12,319 - INFO - Found 100 list items. Extracting basic info...
2026-01-15 13:48:12,865 - INFO - 🔍 Visiting detail page: 이미지수25
2026-01-15 13:48:18,127 - INFO - Firebase Firestore initialized successfully
2026-01-15 13:48:19,796 - INFO - Successfully saved shop to Firebase: 더하노이풋앤바디 송도 트리플타워점
2026-01-15 13:48:19,796 - INFO - ✅ Firebase Saved: 더하노이풋앤바디 송도 트리플타워점
2026-01-15 13:48:19,796 - INFO - Progress: 1/10
2026-01-15 13:48:25,792 - INFO - 🔍 Visiting detail page: 이미지수84
2026-01-15 13:48:30,034 - INFO - Firebase Firestore initialized successfully
2026-01-15 13:48:30,180 - INFO - Successfully saved shop to Firebase: 더바디스 송도마사지
